pVal,AverageB,AverageL,B1,L1,B2,L2,B3,L3,B4,L4,B5,L5,B6,L6,B7,L7,B8,L8,B9,L9,B10,L10
0.83,0.322910711,5000,0.3229701216,5000,0.3230594336,5000,0.3226579584,5000,0.32274456,5000,0.3227954496,5000,0.3229620864,5000,0.3229813856,5000,0.3230184896,5000,0.322993712,5000,0.3229239136,5000
0.84,0.3238828291,5000,0.323861072,5000,0.3238314624,5000,0.3240532864,5000,0.3239429376,5000,0.3237961984,5000,0.3239572768,5000,0.323841648,5000,0.3239014464,5000,0.3238359808,5000,0.3238069824,5000
0.85,0.3248263171,5000,0.3247745728,5000,0.3247237728,5000,0.3249907456,5000,0.324801472,5000,0.324746864,5000,0.3248504096,5000,0.324864736,5000,0.3249764,5000,0.3247899552,5000,0.3247442432,5000
0.86,0.3257223776,5000,0.3257014304,5000,0.325659744,5000,0.3255711744,5000,0.3255958112,5000,0.325916784,5000,0.3258173568,5000,0.3256140896,5000,0.3257587872,5000,0.3257471712,5000,0.3258414272,5000
0.87,0.3266692998,5000,0.3267106976,5000,0.3269009344,5000,0.326700656,5000,0.3267197472,5000,0.3264934656,5000,0.3266215936,5000,0.3265255392,5000,0.3266901248,5000,0.3266436096,5000,0.3266866304,5000
0.88,0.3275437859,5000,0.3276795776,5000,0.3275403264,5000,0.327630592,5000,0.3274205632,5000,0.3274388736,5000,0.3276288096,5000,0.3275710304,5000,0.3273400704,5000,0.3275079008,5000,0.3276801152,5000
0.89,0.3284185936,5000,0.3285024672,5000,0.3283852032,5000,0.3282862592,5000,0.3284749024,5000,0.3285424224,5000,0.3283532832,5000,0.3285073088,5000,0.3284917216,5000,0.3282159936,5000,0.3284263744,5000
0.9,0.3292943818,5000,0.3292633568,5000,0.3293820096,5000,0.3292495552,5000,0.3294260512,5000,0.3293225664,5000,0.329384464,5000,0.3292347936,5000,0.3292305376,5000,0.329205792,5000,0.3292446912,5000
0.91,0.3300948003,5000,0.3302462464,5000,0.329972048,5000,0.3300436032,5000,0.3301784352,5000,0.3300989728,5000,0.3301821088,5000,0.33009456,5000,0.329890912,5000,0.3301374112,5000,0.3301037056,5000
0.92,0.3309536323,5000,0.3310477632,5000,0.3308739008,5000,0.3310312704,5000,0.3310317024,5000,0.331011744,5000,0.3307632896,5000,0.3312369856,5000,0.3306661472,5000,0.3309670528,5000,0.3309064672,5000
0.93,0.331723223,5000,0.3315490368,5000,0.3315287136,5000,0.3315882176,5000,0.3321171296,5000,0.3318029536,5000,0.3318083328,5000,0.3316495744,5000,0.3316457248,5000,0.3318306304,5000,0.3317119168,5000
0.94,0.3326171766,5000,0.3324888704,5000,0.3325371264,5000,0.33264768,5000,0.3325539968,5000,0.3324117344,5000,0.332774896,5000,0.3327589888,5000,0.332688752,5000,0.3325354368,5000,0.3327742848,5000
0.95,0.3333682125,5000,0.3334315712,5000,0.333411952,5000,0.3333025952,5000,0.333524384,5000,0.33361136,5000,0.3332530144,5000,0.3330849376,5000,0.3335124992,5000,0.3333739168,5000,0.3331758944,5000
0.96,0.3341485581,5000,0.3341293792,5000,0.3343282592,5000,0.3343705472,5000,0.3340841536,5000,0.3341896992,5000,0.3341691296,5000,0.3340740928,5000,0.3340684672,5000,0.3340597184,5000,0.3340121344,5000
0.97,0.3349029059,5000,0.334715536,5000,0.334744416,5000,0.3347917664,5000,0.3352451744,5000,0.3348456384,5000,0.3349869024,5000,0.335078288,5000,0.3347779072,5000,0.3350825376,5000,0.3347608928,5000
0.98,0.3357632653,5000,0.3357564288,5000,0.3358648608,5000,0.3357770912,5000,0.33571616,5000,0.3357431584,5000,0.3358536448,5000,0.3357289248,5000,0.335789904,5000,0.3357399552,5000,0.3356625248,5000
0.99,0.3372769571,5000,0.3373715328,5000,0.3378972832,5000,0.337448032,5000,0.3370844768,5000,0.3375702272,5000,0.3371336288,5000,0.3372807264,5000,0.3371080416,5000,0.3369601216,5000,0.3369155008,5000
1,0.7769912278,5000,0.7770009664,5000,0.7773328096,5000,0.7779676352,5000,0.7762762592,5000,0.7760901312,5000,0.7770800896,5000,0.7772100928,5000,0.7774052192,5000,0.7766411392,5000,0.776907936,5000
